birthyear,birthSex,ethnicityomb,raceomb_002,dscore,Mn_RT_all_3467,N_3467,PCT_error_3467,pct_300,pct_400,pct_2K,pct_3K,pct_4K,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,Mn_RT_all_3,Mn_RT_all_4,Mn_RT_all_6,Mn_RT_all_7,Mn_RT_correct_3,Mn_RT_correct_4,Mn_RT_correct_6,Mn_RT_correct_7,N_ERROR_3,N_ERROR_4,N_ERROR_6,N_ERROR_7,countrycit_num,countryres_num,edu,edu_14,politicalid_7,religion2014,religionid
1968,2,2,2,-0.844514532,785.55,120,4.166666667,0,0,0,0,0,4,3,4,4,2,8,5,1,2,2,1,0,1044.35,813.475,751.6,645.2,1028.947368,792.025641,726.6842105,617.7894737,1,1,1,2,1,1,7,7,7,7,1
1999,2,2,6,-0.841823116,876.2833333,120,5,0,0,4.166666667,0.833333333,0,4,3,5,5,2,11,1,1,1,2,1,1,676.05,695.075,1290.9,950.3,676.05,686.2307692,1151.888889,925.7297297,0,1,2,3,1,1,5,5,3,7,1
1974,1,2,6,-0.83920913,1276.266667,120,18.33333333,0,0,12.5,4.166666667,1.666666667,4,4,5,5,1,11,7,1,1,4,1,0,1950.4,1451.35,1154.45,825.025,1245.071429,1184.153846,1154.45,800.3157895,6,14,0,2,1,1,9,9,2,3,2
1993,2,2,2,-0.831534826,954.0666667,120,4.166666667,0,0,6.666666667,1.666666667,0.833333333,2,2,4,4,2,1,6,1,1,5,1,1,714.05,744.775,1299.1,1110.85,676.4736842,715.025641,1299.1,999.1891892,1,1,0,3,1,1,11,11,6,7,1
1997,2,1,8,-0.830973357,803.0333333,120,12.5,0,0.833333333,0,0,0,4,4,5,5,2,2,11,1,1,5,2,2,592.65,723.925,956.3,910.7,571.2105263,685.0833333,887.625,865.7941176,1,4,4,6,1,1,5,5,5,3,3
1979,1,2,2,-0.830720987,1324.216667,120,5,0,0,8.333333333,3.333333333,2.5,5,3,4,4,1,6,11,1,1,2,1,1,1044.052632,843.675,2026.25,1214.925,1044.052632,843.675,1348.941176,1170.342105,0,0,3,2,45,39,7,7,4,7,1
1970,2,1,7,-0.819894272,1001.933333,120,0.833333333,0,0,3.333333333,0.833333333,0.833333333,4,1,4,5,2,9,7,1,1,2,1,0,1215.55,969.35,859.2105263,761.95,1215.55,969.35,859.2105263,761.95,0,0,0,0,1,1,7,7,5,2,2
1980,2,2,6,-0.819693729,2189.216667,120,4.166666667,0,0,41.66666667,18.33333333,9.166666667,4,4,4,5,1,5,5,2,1,1,1,1,3586.05,2240.95,2273.4,1396.975,3722.6,2240.95,2273.4,1396.975,5,0,0,0,39,39,11,11,6,7,1
1999,1,3,7,-0.81589711,565.325,120,25,40.83333333,41.66666667,1.666666667,1.666666667,0.833333333,5,4,3,2,2,1,1,1,1,2,1,0,823.75,711.1,919.35,113.325,776.7222222,675.8684211,1175.5,109.9166667,2,2,10,16,1,1,5,5,4,7,1
1979,2,2,6,-0.815459614,1061.925,120,0,0,0,4.166666667,0,0,4,4,4,4,1,11,6,6,1,6,1,4,937.65,850.2,1215.9,1258.8,937.65,850.2,1215.9,1258.8,0,0,0,0,1,1,7,7,7,7,1
1990,2,2,6,-0.815029664,991.4416667,120,9.166666667,0,0,5.833333333,0.833333333,0,4,4,5,3,2,6,7,1,2,2,1,0,861.95,744.575,1421.85,1087.85,761.6842105,720.2051282,1107.5,952.8571429,1,1,4,5,153,153,9,9,4,7,1
1964,1,2,6,-0.810569298,1740.841667,120,22.5,0,0,28.33333333,10.83333333,5.833333333,4,4,4,4,1,11,8,5,2,1,1,0,2753.65,1843.725,1953.9,1025.025,2404.428571,1557.88,1929.5,956.9722222,6,15,2,4,1,1,11,11,5,7,1
2001,2,2,6,-0.801113021,987.6333333,120,35.83333333,12.5,18.33333333,8.333333333,3.333333333,1.666666667,5,1,2,2,2,5,5,5,1,2,1,4,791.35,604.825,1554.1,1185.35,413.1,269.7142857,1376.25,857.3333333,10,19,4,10,75,75,7,7,4,3,3
1981,2,2,6,-0.793377928,881.6916667,120,1.666666667,0,0,1.666666667,0,0,7,1,4,5,1,6,6,1,1,2,1,0,1078.15,937.175,749.25,794.2,1078.15,937.175,749.25,736.2105263,0,0,0,2,1,1,12,12,6,2,4
1981,2,1,7,-0.793085314,1014.258333,120,7.5,0,0,10.83333333,5,0.833333333,4,2,4,4,1,9,9,1,2,2,1,0,1554.1,1181.775,781.45,693.225,1449.705882,1093.648649,686.2105263,670.1578947,3,3,1,2,1,1,7,7,7,3,3
1981,1,2,5,-0.791586718,993.4833333,120,5,0,0,5.833333333,0.833333333,0,5,3,4,4,2,11,11,6,1,6,1,0,867.6,779.275,1460.8,1036.975,867.6,767.5263158,1446.631579,998.6216216,0,2,1,3,1,1,10,10,7,7,1
2003,2,2,3,-0.791465935,836.2833333,120,5,0,0,1.666666667,0.833333333,0.833333333,4,4,4,4,2,4,1,1,1,2,1,0,658.65,670.1,1133.55,942.65,658.65,670.1,1132.833333,884.75,0,0,2,4,1,1,3,3,4,7,2
1946,1,2,6,-0.785155267,1024.158333,120,6.666666667,0,0,4.166666667,0,0,5,4,2,4,2,4,11,1,1,2,1,0,918.9,852.475,1343.35,1088.875,918.9,839.2564103,1295.777778,1010.542857,0,1,2,5,1,1,8,8,6,2,2
