birthyear,birthSex,ethnicityomb,raceomb_002,dscore,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,countrycit_num,countryres_num,edu,politicalid_7,religion2014,religionid
2001,2,2,6,-0.801113021,5,1,2,2,2,5,5,5,1,2,1,4,75,75,7,4,3,3
1981,2,2,6,-0.793377928,7,1,4,5,1,6,6,1,1,2,1,0,1,1,12,6,2,4
1981,2,1,7,-0.793085314,4,2,4,4,1,9,9,1,2,2,1,0,1,1,7,7,3,3
1981,1,2,5,-0.791586718,5,3,4,4,2,11,11,6,1,6,1,0,1,1,10,7,7,1
2003,2,2,3,-0.791465935,4,4,4,4,2,4,1,1,1,2,1,0,1,1,3,4,7,2
1999,2,2,2,-0.788158165,4,4,4,4,2,11,,6,2,7,,0,232,1,,4,7,1
,2,,,-0.787564584,1,1,5,5,2,,,1,1,5,2,2,39,39,7,7,7,1
1972,1,2,6,-0.785852782,4,4,5,5,1,,11,1,1,7,,0,1,1,7,4,2,2
1946,1,2,6,-0.785155267,5,4,2,4,2,4,11,1,1,2,1,0,1,1,8,6,2,2
,2,,,-0.783923809,4,4,4,3,,,,1,1,5,2,,,,,,,
1974,1,2,6,-0.783445727,4,4,2,2,2,4,6,5,1,7,,2,85,1,,4,7,1
1999,2,1,,-0.78317233,1,1,5,4,2,3,4,6,1,1,1,0,1,1,6,7,7,1
1961,1,,6,-0.781736913,4,4,4,5,2,11,11,1,2,2,1,0,82,82,7,5,2,2
1991,2,1,6,-0.777889221,1,4,3,3,2,2,11,2,1,1,1,0,1,1,9,7,7,1
1963,2,2,6,-0.771940718,4,3,4,5,2,10,11,1,1,5,1,0,1,1,9,6,7,1
1984,2,3,6,-0.768758618,4,4,5,4,1,2,11,1,1,4,1,4,1,1,7,2,3,3
2003,2,2,3,-0.767428042,1,3,5,5,2,3,1,1,1,2,1,0,1,1,4,7,6,3
1966,2,2,6,-0.767367036,5,3,4,3,2,4,11,1,2,5,2,0,14,1,8,6,7,1
2000,1,2,6,-0.765950822,4,4,5,4,2,11,1,1,2,2,1,0,1,1,4,3,5,1
1995,1,2,3,-0.765506976,4,4,4,5,2,1,1,1,1,2,1,0,1,1,7,6,8,3
1990,2,2,6,-0.764479762,4,2,4,4,2,3,6,1,1,7,,3,1,1,7,6,3,2
2000,1,2,6,-0.763800701,6,3,2,4,2,8,1,1,1,2,1,1,1,1,5,7,7,1
1997,2,1,8,-0.756859726,6,2,4,5,2,4,5,1,1,2,1,0,1,1,6,4,7,1
2000,2,2,6,-0.756770441,4,4,5,5,2,2,2,1,1,2,1,0,1,1,5,3,7,2
1998,2,1,6,-0.756623717,4,4,4,5,2,11,1,,,,,0,1,1,5,5,3,3
,,,,-0.755968238,1,1,5,5,,,,,,,,,,,,,,
1954,1,2,6,-0.754548489,4,4,4,5,2,8,7,1,1,2,1,0,1,1,12,4,5,2
1997,1,2,6,-0.753364255,4,4,3,5,2,1,11,1,1,7,,0,1,1,7,7,3,3
,2,,6,-0.752503211,6,4,3,5,2,,,1,2,2,1,,1,,5,,8,4
2001,2,2,3,-0.740119252,4,4,5,4,2,11,1,1,1,2,1,0,1,1,4,7,4,1
1995,2,2,2,-0.734407344,4,4,5,5,2,1,1,1,1,7,,1,209,1,7,6,3,3
1987,2,3,6,-0.734123334,3,4,3,3,2,5,11,1,2,7,,0,1,1,8,5,7,2
1990,2,2,6,-0.733670495,5,4,3,2,2,8,11,1,1,7,,2,1,1,7,6,7,1
1996,2,3,5,-0.733526697,4,1,4,4,2,1,2,1,1,5,1,4,83,83,4,4,3,3
1974,2,,6,-0.733337239,4,4,3,4,2,3,3,1,1,2,2,0,39,39,5,7,7,1
1977,1,2,6,-0.733209541,4,4,4,4,1,11,5,1,1,2,1,0,1,1,12,4,7,1
1977,2,1,6,-0.731491558,6,3,4,4,2,11,7,1,1,2,1,1,200,1,10,7,7,1
1995,2,2,8,-0.730660695,4,4,5,5,2,4,,1,1,5,1,0,1,1,9,6,2,2
,2,,,-0.728683477,4,6,4,4,2,3,11,2,1,1,2,0,,,,,,
2002,1,2,6,-0.728634695,4,4,3,3,2,1,1,1,2,5,2,2,1,1,3,2,3,3
